Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,1164,959,192,31,0,4,40,159,2,0,2,0,906,13,26
3,Issah Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,0.2,15,12,3,0,0,0,0,3,0,0,0,0,12,0,0
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,1762,1697,60,60,0,11,0,0,0,0,0,0,1506,5,10
5,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,14,14,0,0,0,1,1,0,0,0,0,0,7,0,1
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,718,662,52,33,0,9,40,5,14,7,7,0,605,4,7
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,1564,1521,38,31,1,11,26,7,0,0,0,0,1288,5,34
8,Charles Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,10.1,202,192,10,0,0,1,3,0,0,0,0,0,128,0,10
9,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,681,653,27,25,0,18,1,2,0,0,0,0,521,1,2
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,678,616,59,17,0,10,13,42,0,0,0,0,558,3,7
12,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,211,195,16,2,0,0,6,0,0,0,0,0,149,0,9
13,Amir Abrashi,al ALB,MFDF,Freiburg,de Bundesliga,30,1990,0.7,23,23,0,0,0,0,0,0,0,0,0,0,18,0,1
14,Gennaro Acampora,it ITA,MFFW,Spezia,it Serie A,26,1994,4.9,223,216,5,4,0,6,7,0,1,0,0,0,185,2,1
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,2097,1974,119,73,0,24,32,22,0,0,0,0,1854,4,11
16,Ragnar Ache,de GER,FWDF,Eint Frankfurt,de Bundesliga,22,1998,1.1,32,32,0,0,0,0,1,0,0,0,0,0,19,0,2
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,1767,1487,277,46,0,21,119,206,25,2,20,0,1415,3,30
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,622,615,2,1,7,3,6,1,0,0,0,0,431,5,19
19,Tyler Adams,us USA,MFDF,RB Leipzig,de Bundesliga,21,1999,20.6,1375,1273,100,22,0,2,19,78,0,0,0,0,1173,2,17
20,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27,1993,5.3,156,151,5,0,0,2,10,3,0,0,0,0,103,0,10
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,1918,1872,42,35,0,8,2,7,0,0,0,0,1647,4,11
22,Bobby Adekanye,nl NED,FWMF,Cádiz,es La Liga,21,1999,0.4,10,10,0,0,0,0,2,0,0,0,0,0,7,0,0
23,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,1631,1559,65,40,6,25,53,6,18,7,8,0,1327,7,22
24,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,0.1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
25,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3,100,70,29,7,0,0,0,0,0,0,0,0,78,1,0
26,Martin Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24,1996,17.3,751,563,183,16,0,9,32,165,2,0,0,0,534,5,17
27,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,8.9,487,472,12,11,1,5,1,1,0,0,0,0,434,3,2
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,299,231,68,0,0,1,12,68,0,0,0,0,210,0,9
29,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,15.1,328,310,16,0,1,1,11,2,2,0,0,0,228,2,25
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35,2712,2631,80,79,0,30,1,1,0,0,0,0,2449,1,7
31,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,1988,6.2,173,163,10,0,0,0,1,1,0,0,0,0,140,0,7
32,Ruben Aguilar,fr FRA,DFMF,Monaco,fr Ligue 1,27,1993,24.7,1568,1341,221,32,1,14,118,167,22,8,11,0,1265,6,24
33,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,2.8,125,122,3,3,0,0,0,0,0,0,0,0,110,0,4
34,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,10,322,316,5,5,0,0,6,0,0,0,0,0,258,1,10
35,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,23.8,851,835,15,13,1,6,8,1,1,0,1,0,701,1,10
36,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,0.4,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,629,608,16,15,0,2,1,1,0,0,0,0,511,5,8
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,1769,1486,282,28,0,13,52,254,0,0,0,0,1352,1,34
39,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,19,2001,15.6,805,675,129,6,0,3,61,116,7,1,6,0,662,1,20
40,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,19,2001,2.1,147,126,21,1,0,1,4,20,0,0,0,0,132,0,1
41,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,999,931,61,13,0,10,7,48,0,0,0,0,719,7,7
42,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,26,1994,33,927,875,52,0,0,25,27,4,0,0,0,0,620,0,30
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,2137,2076,56,44,1,25,2,12,0,0,0,0,1961,5,8
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,356,245,109,7,0,0,18,102,0,0,0,0,229,2,6
45,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,2001,1.6,31,28,2,0,0,0,2,0,0,0,0,0,22,1,1
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,763,741,22,11,0,0,1,11,0,0,0,0,709,0,5
47,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,4.2,187,186,1,1,0,1,2,0,0,0,0,0,170,0,0
48,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,11.7,361,340,20,5,0,2,4,12,0,0,0,0,293,1,11
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,735,684,50,20,0,3,8,30,0,0,0,0,600,1,7
50,David Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28,1992,29.7,2290,2181,99,55,0,16,37,41,2,0,1,0,1929,10,28
51,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,16.7,913,719,191,14,0,3,19,176,0,0,0,0,718,3,26
52,Jony Álamo,es ESP,MF,Elche,es La Liga,18,2001,0.8,16,16,0,0,0,0,0,0,0,0,0,0,14,0,0
53,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,13.8,308,294,12,1,0,1,0,0,0,0,0,0,226,2,8
54,Jordi Alba,es ESP,DFFW,Barcelona,es La Liga,31,1989,33.6,2929,2647,276,38,0,14,119,235,3,0,0,0,2479,6,45
55,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,1992,29.1,1946,1664,266,71,9,14,150,22,119,63,38,1,1493,16,43
56,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,2065,1994,68,62,0,19,6,5,0,0,0,0,1829,3,14
57,Marc Albrighton,eng ENG,DFFW,Leicester City,eng Premier League,30,1989,19.4,933,830,97,8,1,9,118,60,29,6,15,0,627,6,53
58,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,1993,17.2,270,229,37,0,1,0,3,1,0,0,0,0,193,4,7
59,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,282,266,14,14,0,5,0,0,0,0,0,0,205,2,4
60,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,1991,20.6,1735,1686,44,30,3,19,7,3,0,0,0,0,1545,5,12
61,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,24.1,1131,1076,48,43,0,39,10,5,0,0,0,0,930,7,14
62,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,916,878,32,31,0,5,2,1,0,0,0,0,732,6,4
63,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,1453,1377,74,61,2,16,1,13,0,0,0,0,1199,2,9
64,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,25,1995,9.2,229,217,12,1,0,0,63,7,3,1,2,0,127,0,20
65,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,22,1998,0.5,39,39,0,0,0,0,0,0,0,0,0,0,36,0,0
66,Carles Aleñá,es ESP,MFFW,Getafe,es La Liga,22,1998,15.2,591,510,74,37,1,7,60,4,32,16,10,0,390,7,16
67,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,0.2,11,8,3,2,0,0,0,0,0,0,0,0,7,0,0
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,3015,2516,488,56,6,55,297,326,106,16,61,2,2245,11,52
69,Alfon,es ESP,MF,Celta Vigo,es La Liga,21,1999,0.4,16,16,0,0,0,0,0,0,0,0,0,0,16,0,0
70,Mohamed Ali Cho,fr FRA,FWMF,Angers,fr Ligue 1,16,2004,3.9,111,106,3,0,0,0,11,2,0,0,0,0,67,2,6
71,Ezgjan Alioski,mk MKD,DFMF,Leeds United,eng Premier League,28,1992,27.3,1670,1410,255,29,1,7,62,226,0,0,0,0,1321,5,44
72,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,1992,0.2,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
73,Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33,1157,919,234,61,0,2,0,0,0,0,0,0,1000,4,0
74,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12,403,265,137,32,0,1,0,0,0,0,0,0,269,1,1
75,Allan,br BRA,MF,Everton,eng Premier League,29,1991,22.8,1068,1029,35,22,1,4,4,5,0,0,0,0,908,4,18
76,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,1996,6.9,345,316,27,8,1,1,10,3,0,0,0,0,275,2,12
77,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,26,1994,27,895,866,26,6,3,5,39,3,5,0,0,0,708,3,33
78,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,10.7,610,517,90,11,0,3,24,75,4,0,4,0,493,3,21
79,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,28,1992,17.4,698,681,16,14,0,8,9,2,0,0,0,0,531,1,6
80,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,21.6,1107,1049,54,51,0,26,5,3,0,0,0,0,907,4,8
81,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,18.1,931,894,33,29,0,11,8,2,0,0,0,0,790,4,4
82,Steven Alzate,co COL,MF,Brighton,eng Premier League,21,1998,10,449,438,11,1,0,1,3,9,0,0,0,0,403,0,5
83,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,1993,16.7,691,677,13,11,0,5,4,2,0,0,0,0,582,1,11
84,Romain Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,30,1989,1.3,57,52,4,0,0,0,5,4,0,0,0,0,44,1,1
85,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,0.5,14,11,3,0,0,0,1,3,0,0,0,0,9,0,1
86,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,8,493,453,38,2,0,0,1,36,0,0,0,0,414,2,8
87,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,9,442,362,79,6,0,3,10,73,0,0,0,0,343,1,14
88,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,23,1997,8.4,243,229,13,1,1,2,19,2,3,3,0,0,164,1,15
89,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,0,5,3,2,0,0,0,0,2,0,0,0,0,5,0,0
90,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,1996,21,1139,1036,96,41,3,3,68,7,44,15,19,0,930,7,24
91,Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,eng Premier League,19,2000,23.2,1087,1002,83,18,0,15,19,60,5,5,0,0,870,2,14
92,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,1996,27.1,1378,1314,61,38,0,33,16,5,0,0,0,0,1210,3,18
93,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,1989,8.9,230,223,7,7,0,0,2,0,0,0,0,0,180,0,2
94,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,1996,30.3,1993,1902,83,68,0,35,12,15,0,0,0,0,1609,8,13
95,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,1996,2.1,117,110,7,6,0,2,0,1,0,0,0,0,105,0,1
96,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,1995,0.8,32,25,7,0,0,0,2,7,0,0,0,0,23,0,1
97,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,17,2002,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
98,Felipe Anderson,br BRA,FWMF,West Ham,eng Premier League,27,1993,0,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
99,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,1991,12.5,247,221,25,0,0,0,2,0,0,0,0,0,168,1,6
100,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2,40,29,11,2,0,0,0,0,0,0,0,0,34,0,0
101,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,29,1990,32.1,2040,2005,30,28,0,16,14,2,0,0,0,0,1703,5,35
102,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,25,1994,28.1,1442,1408,25,20,2,12,17,2,0,0,0,0,1127,9,21
103,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,23,1996,18.6,890,871,18,15,0,9,9,3,0,0,0,0,780,1,11
104,Ángel,es ESP,GK,Granada,es La Liga,18,2002,1,31,12,19,2,0,0,0,0,0,0,0,0,14,0,0
105,José Ángel,es ESP,DF,Eibar,es La Liga,30,1989,10,692,552,135,19,0,9,59,115,1,0,0,0,510,5,15
106,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,1.5,54,53,0,0,0,0,0,0,0,0,0,0,39,1,0
107,Angeliño,es ESP,DFFW,RB Leipzig,de Bundesliga,23,1997,24,1500,1207,284,44,1,4,184,193,47,23,15,0,1057,9,36
108,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
109,Philip Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Cristian Ansaldi,ar ARG,DFFW,Torino,it Serie A,33,1986,21.6,997,757,239,32,0,26,177,185,22,3,16,0,674,1,28
111,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,30.1,2097,1993,100,60,1,6,11,40,0,0,0,0,1835,4,22
112,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,30,1990,21.9,494,481,11,1,0,3,31,8,0,0,0,0,316,2,20
113,José Antonio Miranda,gq EQG,MFDF,Getafe,es La Liga,22,1998,0.3,16,16,0,0,0,0,2,0,0,0,0,0,9,0,0
114,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19,2000,2.6,122,109,13,6,0,1,0,7,0,0,0,0,108,0,0
115,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,22,1998,19.8,991,945,41,14,2,5,19,7,8,2,1,0,833,5,23
116,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2002,19.2,818,680,136,45,4,14,130,5,77,26,38,3,571,2,22
117,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,1992,17.3,868,676,189,13,0,2,47,176,0,0,0,0,628,3,18
118,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,1998,0.3,19,15,4,0,0,0,0,4,0,0,0,0,13,0,0
119,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,24,1995,33.1,1093,964,123,51,2,36,123,2,68,41,13,0,739,6,14
120,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,31,1989,18.5,1168,1122,44,35,0,5,4,9,0,0,0,0,998,2,19
121,Luiz Araújo,br BRA,MF,Lille,fr Ligue 1,24,1996,16.6,606,588,16,4,1,11,27,8,4,3,0,0,455,2,17
122,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,1991,27,1590,1562,26,24,1,7,2,2,0,0,0,0,1321,2,9
123,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21,1999,16.8,1075,1037,37,28,0,6,0,9,0,0,0,0,985,1,4
124,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33,1987,31.2,1932,1652,278,88,0,82,43,190,0,0,0,0,1459,2,21
125,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36,1014,663,348,97,0,0,0,0,0,0,0,0,746,3,0
126,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1,57,49,8,1,0,0,2,7,0,0,0,0,47,0,0
127,Karim Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26,1994,3.3,68,59,9,0,0,0,2,0,0,0,0,0,38,0,3
128,Unai Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,21,1999,0.5,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0
129,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,2001,0.1,5,3,1,1,0,1,0,0,0,0,0,0,3,1,0
130,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,28,1992,30.7,1298,1203,89,14,2,4,40,16,2,0,0,0,1021,6,52
131,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,26,1994,28.7,1664,1395,259,140,3,20,139,11,105,53,33,0,1323,10,19
132,Toluwalas Arokodare,ng NGA,FWMF,Köln,de Bundesliga,19,2000,1.2,37,35,2,0,0,1,1,0,0,0,0,0,26,0,1
133,Sergio Arribas,es ESP,MFFW,Real Madrid,es La Liga,18,2001,1.5,89,86,2,0,1,0,1,2,0,0,0,0,72,1,3
134,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,6.5,246,193,53,7,0,0,0,0,0,0,0,0,202,0,0
135,Tolgay Arslan,de GER,MF,Udinese,it Serie A,29,1990,20.2,890,853,31,26,1,10,13,3,2,1,1,0,749,6,12
136,Kwadwo Asamoah,gh GHA,DFMF,Cagliari,it Serie A,31,1988,2.5,114,102,12,1,0,0,7,10,1,0,0,0,95,0,1
137,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,23,1997,8.5,358,332,25,23,0,4,4,2,0,0,0,0,291,1,12
138,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36,1308,947,358,75,0,6,0,0,0,0,0,0,1022,3,0
139,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,24,1996,20.8,1012,948,60,11,1,12,97,20,29,9,5,0,798,4,32
140,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,19,2001,1.1,19,19,0,0,0,0,1,0,0,0,0,0,10,0,0
141,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,32,1987,31.8,1275,1209,55,19,9,11,28,12,2,1,1,0,983,11,34
142,Roger Assalé,ci CIV,FWMF,Dijon,fr Ligue 1,26,1993,9.2,181,171,9,1,0,2,6,2,0,0,0,0,118,1,5
143,Youcef Atal,dz ALG,DFFW,Nice,fr Ligue 1,24,1996,10.6,630,533,97,11,1,5,51,86,0,0,0,0,496,0,14
144,Miguel Atienza,es ESP,MF,Eibar,es La Liga,21,1999,9.3,341,340,1,1,0,3,4,0,0,0,0,0,271,0,3
145,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31,1989,25.9,674,651,14,0,1,3,38,3,0,0,0,0,499,9,12
146,Emil Audero,it ITA,GK,Sampdoria,it Serie A,23,1997,37,1247,873,372,113,0,1,0,0,0,0,0,0,877,2,0
147,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,25,1994,35.7,2061,1701,357,42,0,5,148,315,0,0,0,0,1564,3,62
148,Jean-Kévin Augustin,fr FRA,FW,Nantes,fr Ligue 1,23,1997,0.4,4,3,1,0,0,0,0,0,0,0,0,0,4,0,0
149,Ludwig Augustinsson,se SWE,DFFW,Werder Bremen,de Bundesliga,26,1994,21.7,1177,854,317,55,0,5,193,191,71,29,39,0,762,6,31
150,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,27,1992,17.8,980,823,157,4,1,1,35,153,0,0,0,0,772,0,32
151,Charlie Austin,eng ENG,FWMF,West Brom,eng Premier League,31,1989,1.5,34,32,1,0,0,0,0,0,0,0,0,0,23,1,1
152,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,26,1994,2.2,54,53,1,0,0,3,2,0,0,0,0,0,31,0,1
153,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,22,1997,15.1,295,289,5,0,1,0,4,1,0,0,0,0,194,1,7
154,Mehmet-Can Aydin,de GER,DF,Schalke 04,de Bundesliga,18,2002,5.6,204,156,48,1,0,0,10,47,0,0,0,0,136,0,8
155,Jordan Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,28,1991,23.3,667,656,10,3,1,3,31,2,0,0,0,0,519,1,30
156,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,25,1994,8.8,567,530,36,8,0,1,3,28,0,0,0,0,515,1,3
157,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,28,1991,37.8,2770,2407,355,56,4,50,82,299,0,0,0,0,2161,8,46
158,Ramon Azeez,ng NGA,MF,Granada,es La Liga,27,1992,1.1,37,35,2,1,0,0,1,1,0,0,0,0,29,0,0
159,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,30,1989,24.3,2081,1892,185,32,3,0,37,153,0,0,0,0,1787,4,31
160,Ludovic Baal,gf GUF,DFMF,Brest,fr Ligue 1,34,1986,3.3,253,233,20,6,0,3,2,14,0,0,0,0,212,0,1
161,Carlos Bacca,co COL,FW,Villarreal,es La Liga,33,1986,8.7,168,153,14,0,2,2,7,1,0,0,0,0,105,1,5
162,Loïc Bade,fr FRA,DF,Lens,fr Ligue 1,20,2000,29,1961,1925,33,29,1,15,5,1,0,0,0,0,1672,3,11
163,Milan Badelj,hr CRO,MF,Genoa,it Serie A,31,1989,26.8,1597,1520,70,54,3,26,15,3,2,1,1,0,1295,7,25
164,Édgar Badía,es ESP,GK,Elche,es La Liga,28,1992,30,1150,776,373,88,0,0,0,0,0,0,0,0,865,1,0
165,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,19,2001,31.9,2450,2400,46,41,1,28,3,5,0,0,0,0,2124,4,7
166,Alex Baena,es ESP,MF,Villarreal,es La Liga,19,2001,1.5,56,52,3,3,0,0,4,0,0,0,0,0,43,1,1
167,Miguel Baeza,es ESP,MFFW,Celta Vigo,es La Liga,20,2000,6,212,196,16,3,1,3,12,5,8,4,1,0,169,0,3
168,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,28,1992,18,333,303,28,0,1,0,20,1,0,0,0,0,234,2,19
169,Leon Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,22,1997,23.8,962,859,98,11,1,15,155,24,62,17,26,0,668,5,45
170,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,26,1994,10.2,564,552,11,10,0,1,0,1,0,0,0,0,497,1,3
171,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,2001,1,37,28,9,2,0,0,0,0,0,0,0,0,23,0,0
172,Tiemoué Bakayoko,fr FRA,MF,Napoli,it Serie A,25,1994,21.8,1228,1198,27,27,1,4,2,0,0,0,0,0,1080,3,16
173,Mitchel Bakker,nl NED,DF,Paris S-G,fr Ligue 1,20,2000,18.8,1334,1203,131,17,0,2,51,114,0,0,0,0,1177,0,13
174,Ridle Baku,de GER,FWDF,Wolfsburg,de Bundesliga,22,1998,29.8,1484,1263,217,10,0,4,102,203,4,1,0,0,1095,4,49
175,Ridle Baku,de GER,DF,Mainz 05,de Bundesliga,22,1998,2,91,73,18,1,0,0,6,17,0,0,0,0,63,0,3
176,Dilane Bakwa,fr FRA,FWMF,Bordeaux,fr Ligue 1,17,2002,0.6,40,40,0,0,0,0,0,0,0,0,0,0,34,0,1
177,Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,28,1991,13.3,488,463,22,22,1,9,3,0,0,0,0,0,362,3,4
178,Keita Baldé,sn SEN,FW,Sampdoria,it Serie A,25,1995,13.3,315,292,23,1,0,0,8,2,2,2,0,0,230,0,9
179,George Baldock,gr GRE,DF,Sheffield Utd,eng Premier League,27,1993,31,1153,954,197,5,1,1,62,192,0,0,0,0,888,2,47
180,Gareth Bale,wls WAL,FW,Tottenham,eng Premier League,31,1989,10.2,416,386,29,7,2,12,40,9,13,11,1,0,285,1,14
181,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,32,1988,18.8,951,757,190,20,0,1,44,170,0,0,0,0,715,4,31
182,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,21,1999,18.2,1064,1006,58,40,0,13,1,18,0,0,0,0,921,0,10
183,Fodé Ballo-Touré,sn SEN,DF,Monaco,fr Ligue 1,23,1997,7.4,432,353,78,7,0,0,39,71,0,0,0,0,349,1,9
184,Botond Balogh,hu HUN,DF,Parma,it Serie A,18,2002,1.8,79,75,4,1,0,0,0,3,0,0,0,0,59,0,0
185,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,30,1990,15,875,680,194,16,1,2,48,178,0,0,0,0,650,1,23
186,Jonathan Bamba,fr FRA,MF,Lille,fr Ligue 1,24,1996,33.2,1680,1483,184,53,4,8,146,55,75,35,37,1,1305,13,42
187,Robson Bambu,br BRA,DF,Nice,fr Ligue 1,22,1997,11.6,827,787,40,27,0,6,1,13,0,0,0,0,720,0,13
188,Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,26,1993,33.9,516,422,90,1,2,0,3,0,2,0,0,0,394,4,14
189,Mattia Bani,it ITA,DF,Genoa,it Serie A,26,1993,10.2,529,513,15,12,0,5,2,3,0,0,0,0,443,1,6
190,Mattia Bani,it ITA,DF,Parma,it Serie A,26,1993,12.7,712,684,28,21,0,6,3,6,0,0,0,0,633,0,2
