Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,3,45,11,24.4,1.27,0.31,0.07,0.27,20.7,0,0,0,2.6,2.6,0.06,+0.4,+0.4
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,0,1,1,100,0.07,0.07,0,0,12.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1
4,Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,0,1,0,0,10,0,0,,24.4,0,0,0,0,0,0.03,0,0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,0,19,4,21.1,0.5,0.11,0,0,15.4,0,0,0,1.6,1.6,0.09,-1.6,-1.6
6,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,3,36,10,27.8,1.6,0.44,0.06,0.2,24.9,0,1,1,2.9,2.1,0.06,+0.1,-0.1
7,Charles Abi,fr FRA,DFFW,Saint-Étienne,fr Ligue 1,18,2000,0.4,0,1,0,0,2.81,0,0,,15.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,0,5,1,20,0.32,0.06,0,0,11.4,0,0,0,0.8,0.8,0.15,-0.8,-0.8
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,0,7,2,28.6,0.8,0.23,0,0,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,3,18,7,38.9,0.49,0.19,0.17,0.43,9.8,0,0,0,3.4,3.4,0.2,-0.4,-0.4
11,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,2,22,7,31.8,1.31,0.42,0.09,0.29,20.8,0,0,0,1.4,1.4,0.07,+0.6,+0.6
12,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8,0,2,1,50,0.25,0.12,0,0,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
13,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
14,Aday,es ESP,DFMF,Girona,es La Liga,30,1987,7.2,0,9,3,33.3,1.26,0.42,0,0,27.1,2,0,0,0.3,0.3,0.03,-0.3,-0.3
15,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,0,8,0,0,0.36,0,0,,10.8,0,0,0,0.7,0.7,0.09,-0.7,-0.7
16,Claud Adjapong,it ITA,MFFW,Sassuolo,it Serie A,20,1998,3,1,2,1,50,0.67,0.33,0.5,1,18,0,0,0,0.7,0.7,0.36,+0.3,+0.3
17,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,18,2000,2.4,0,1,0,0,0.42,0,0,,46.4,0,0,0,0,0,0.02,0,0
18,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24,1993,1.8,0,3,0,0,1.63,0,0,,17,0,0,0,0.2,0.2,0.08,-0.2,-0.2
19,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,2,17,9,52.9,1.62,0.86,0,0,15,0,2,2,3.3,1.8,0.1,-1.3,-1.8
20,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,1,17,5,29.4,0.64,0.19,0.06,0.2,21.8,0,0,0,1.1,1.1,0.06,-0.1,-0.1
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,0,1,0,0,0.04,0,0,,23.8,0,0,0,0,0,0.03,0,0
22,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,3,10,4,40,0.86,0.34,0.3,0.75,14,0,0,0,1.5,1.5,0.15,+1.5,+1.5
23,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,21,116,41,35.3,4.25,1.5,0.16,0.46,15,3,2,2,18.1,16.5,0.14,+2.9,+2.5
