Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
815,Adri Embarba,es ESP,FWMF,Espanyol,es La Liga,29,1992,22.1,0,49,16,32.7,2.22,0.73,0,0,23.1,15,0,0,3.7,3.7,0.08,-3.7,-3.7
816,Breel Embolo,ch SUI,FWMF,M'Gladbach,de Bundesliga,24,1997,24.1,9,48,23,47.9,1.99,0.96,0.19,0.39,13.8,0,0,0,8.7,8.7,0.19,+0.3,+0.3
817,Emerson,br BRA,DFMF,Tottenham,eng Premier League,22,1999,25.4,1,15,4,26.7,0.59,0.16,0.07,0.25,14.6,0,0,0,1.8,1.8,0.12,-0.8,-0.8
818,Emerson,br BRA,DF,Barcelona,es La Liga,22,1999,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
819,Renaud Emond,be BEL,FWMF,Nantes,fr Ligue 1,29,1991,2.1,0,1,0,0,0.47,0,0,,49.6,0,0,0,0.1,0.1,0.1,-0.1,-0.1
820,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,24,1997,14.2,5,36,13,36.1,2.54,0.92,0.11,0.31,11.9,0,1,1,6.5,5.7,0.16,-1.5,-1.7
821,Keita Endo,jp JPN,MF,Union Berlin,de Bundesliga,23,1997,0.6,0,2,1,50,3.27,1.64,0,0,17.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
822,Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,28,1993,32.2,4,45,16,35.6,1.4,0.5,0.09,0.25,16.3,0,0,0,5.8,5.5,0.12,-1.8,-1.5
823,Christian Eriksen,dk DEN,MF,Brentford,eng Premier League,29,1992,10.4,1,22,8,36.4,2.11,0.77,0.05,0.13,24.6,5,0,0,1.4,1.4,0.07,-0.4,-0.4
824,Martin Erlic,hr CRO,DF,Spezia,it Serie A,23,1998,28.6,2,15,3,20,0.52,0.1,0.13,0.67,10.1,0,0,0,2.9,2.9,0.2,-0.9,-0.9
825,Gonzalo Escalante,ar ARG,MF,Lazio,it Serie A,28,1993,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
826,Gonzalo Escalante,ar ARG,MF,Alavés,es La Liga,28,1993,14.4,5,16,9,56.3,1.11,0.62,0.31,0.56,12.2,0,0,0,2.7,2.7,0.17,+2.3,+2.3
827,Aarón Escandell,es ESP,GK,Granada,es La Liga,25,1995,3.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
828,Sergio Escudero,es ESP,DFMF,Granada,es La Liga,31,1989,15.9,2,21,4,19,1.32,0.25,0.1,0.5,27.1,4,0,0,1.1,1.1,0.05,+0.9,+0.9
829,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,29,1992,37,2,27,7,25.9,0.73,0.19,0.07,0.29,20.7,0,0,0,1.8,1.6,0.06,+0.2,+0.4
830,Michael Esser,de GER,GK,Bochum,de Bundesliga,33,1987,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
831,Estanis,es ESP,FW,Barcelona,es La Liga,17,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
832,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,19,2002,20.6,0,5,1,20,0.24,0.05,0,0,7.5,0,0,0,0.9,0.9,0.17,-0.9,-0.9
833,Pervis Estupiñán,ec ECU,DF,Villarreal,es La Liga,23,1998,17.5,0,14,4,28.6,0.8,0.23,0,0,19.1,0,0,0,1,1,0.07,-1,-1
834,Oghenekaro Etebo,ng NGA,MF,Watford,eng Premier League,25,1995,4.5,0,3,0,0,0.67,0,0,,31,0,0,0,0.1,0.1,0.03,-0.1,-0.1
835,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,33,1988,15,1,3,2,66.7,0.2,0.13,0.33,0.5,5.6,0,0,0,0.7,0.7,0.24,+0.3,+0.3
836,Eberechi Eze,eng ENG,MFFW,Crystal Palace,eng Premier League,23,1998,6.7,1,10,1,10,1.49,0.15,0.1,1,20.8,1,0,0,0.6,0.6,0.06,+0.4,+0.4
837,Abdessamad Ezzalzouli,ma MAR,FW,Barcelona,es La Liga,19,2001,6.4,1,16,4,25,2.48,0.62,0.06,0.25,16.5,0,0,0,1.8,1.8,0.11,-0.8,-0.8
838,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,36,1985,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
839,Fabinho,br BRA,MF,Liverpool,eng Premier League,27,1993,25.7,5,19,7,36.8,0.74,0.27,0.16,0.43,19.9,2,2,2,4,2.5,0.15,+1.0,+0.5
840,Fábio,br BRA,DF,Nantes,fr Ligue 1,31,1990,18.5,0,11,1,9.1,0.59,0.05,0,0,17.7,0,0,0,0.9,0.9,0.08,-0.9,-0.9
841,Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,34,1987,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
842,Wout Faes,be BEL,DF,Reims,fr Ligue 1,23,1998,37,4,22,9,40.9,0.59,0.24,0.18,0.44,13.6,0,0,0,2.4,2.4,0.11,+1.6,+1.6
843,Wahidullah Faghir,dk DEN,FW,Stuttgart,de Bundesliga,18,2003,1.4,1,5,1,20,3.66,0.73,0.2,1,17.3,0,0,0,0.5,0.5,0.09,+0.5,+0.5
844,Romain Faivre,fr FRA,FWMF,Lyon,fr Ligue 1,23,1998,9.9,3,20,6,30,2.02,0.61,0.15,0.5,18.4,1,0,0,2,2,0.1,+1.0,+1.0
845,Romain Faivre,fr FRA,MF,Brest,fr Ligue 1,23,1998,19.9,7,32,12,37.5,1.6,0.6,0.06,0.17,23.1,5,5,5,6.9,3,0.09,+0.1,-1
846,Radamel Falcao,co COL,FW,Rayo Vallecano,es La Liga,35,1986,9.3,6,33,15,45.5,3.54,1.61,0.18,0.4,13.4,2,0,0,5.4,5.4,0.16,+0.6,+0.6
847,Diego Falcinelli,it ITA,FW,Bologna,it Serie A,30,1991,0.7,0,5,0,0,6.82,0,0,,15.6,0,0,0,0.5,0.5,0.1,-0.5,-0.5
848,Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,26,1995,9.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
849,Fali,es ESP,DFMF,Cádiz,es La Liga,27,1993,20,0,14,0,0,0.7,0,0,,16.9,2,0,0,0.9,0.9,0.06,-0.9,-0.9
850,Paolo Faragò,it ITA,MF,Cagliari,it Serie A,28,1993,0.2,0,2,1,50,11.25,5.63,0,0,13.6,0,0,0,0.3,0.3,0.14,-0.3,-0.3
851,Omar Faraj,se SWE,FW,Levante,es La Liga,19,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
852,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,29,1991,28.6,4,30,9,30,1.05,0.31,0.13,0.44,14.1,0,0,0,3.2,3.2,0.11,+0.8,+0.8
853,Mohamed Fares,dz ALG,DFFW,Genoa,it Serie A,25,1996,6.5,2,13,3,23.1,1.99,0.46,0.15,0.67,14.2,0,0,0,1.3,1.3,0.1,+0.7,+0.7
854,Diego Farias,br BRA,MFFW,Cagliari,it Serie A,31,1990,0.7,0,1,0,0,1.36,0,0,,23.4,0,0,0,0,0,0.04,0,0
855,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,23,1998,12.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
856,Ömer Faruk Beyaz,tr TUR,DFMF,Stuttgart,de Bundesliga,17,2003,0.8,0,3,1,33.3,3.8,1.27,0,0,20.8,0,0,0,0.3,0.3,0.1,-0.3,-0.3
857,Noah Fatar,fr FRA,DFMF,Angers,fr Ligue 1,19,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
858,Ansu Fati,es ESP,FW,Barcelona,es La Liga,18,2002,3.7,4,18,8,44.4,4.82,2.14,0.22,0.5,17.3,1,0,0,1.6,1.6,0.09,+2.4,+2.4
859,Julien Faussurier,fr FRA,MFDF,Brest,fr Ligue 1,34,1987,5.4,0,4,3,75,0.74,0.55,0,0,15.4,0,0,0,0.4,0.4,0.1,-0.4,-0.4
860,Andrea Favilli,it ITA,FW,Genoa,it Serie A,24,1997,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
861,Federico Fazio,ar ARG,DF,Salernitana,it Serie A,34,1987,15.9,1,16,3,18.8,1,0.19,0.06,0.33,12.5,0,0,0,1.6,1.6,0.1,-0.6,-0.6
862,Aleix Febas,es ESP,MF,Mallorca,es La Liga,25,1996,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
863,Adrian Fein,de GER,MF,Greuther Fürth,de Bundesliga,22,1999,0.4,0,1,0,0,2.81,0,0,,28.3,0,0,0,0,0,0.04,0,0
864,Nabil Fekir,fr FRA,MF,Betis,es La Liga,28,1993,31,6,84,32,38.1,2.71,1.03,0.07,0.19,21.4,11,0,0,6.1,6.1,0.07,-0.1,-0.1
865,Felipe,br BRA,DF,Atlético Madrid,es La Liga,32,1989,16.7,2,11,4,36.4,0.66,0.24,0.18,0.5,9.5,0,0,0,1,1,0.09,+1.0,+1.0
866,Luiz Felipe,it ITA,DF,Lazio,it Serie A,24,1997,27.7,0,5,1,20,0.18,0.04,0,0,13.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4
867,João Félix,pt POR,FWMF,Atlético Madrid,es La Liga,21,1999,14,8,39,15,38.5,2.78,1.07,0.21,0.53,14.8,1,0,0,6.2,6.2,0.16,+1.8,+1.8
868,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,23,1997,8.7,0,2,0,0,0.23,0,0,,11.5,0,0,0,0.2,0.2,0.1,-0.2,-0.2
869,Kiko Femenía,es ESP,DF,Watford,eng Premier League,30,1991,23.8,0,3,1,33.3,0.13,0.04,0,0,20.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2
870,Evan Ferguson,ie IRL,MF,Brighton,eng Premier League,16,2004,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
871,Nathan Ferguson,eng ENG,DF,Crystal Palace,eng Premier League,20,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
872,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,26,1994,34.6,10,87,29,33.3,2.52,0.84,0.11,0.34,21.9,6,0,2,11.6,10,0.11,-1.6,0
873,Edimilson Fernandes,ch SUI,MFFW,Arminia,de Bundesliga,25,1996,3.1,0,4,2,50,1.27,0.64,0,0,41.8,0,0,0,0.4,0.4,0.1,-0.4,-0.4
874,Aitor Fernández,es ESP,GK,Levante,es La Liga,30,1991,13,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
875,Álex Fernández,es ESP,MF,Cádiz,es La Liga,28,1992,22.8,3,19,6,31.6,0.83,0.26,0.11,0.33,20.7,0,1,2,3.3,1.7,0.09,-0.3,+0.3
876,Álvaro Fernández,es ESP,GK,Brentford,eng Premier League,23,1998,12,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
877,Federico Fernández,ar ARG,DF,Newcastle Utd,eng Premier League,32,1989,5.8,0,6,1,16.7,1.03,0.17,0,0,10.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5
878,Fernandinho,br BRA,MFDF,Manchester City,eng Premier League,36,1985,10.7,2,18,3,16.7,1.68,0.28,0.11,0.67,16.7,0,0,0,1.8,1.8,0.1,+0.2,+0.2
879,Fernando,br BRA,MFDF,Sevilla,es La Liga,34,1987,20.6,1,6,1,16.7,0.29,0.05,0.17,1,18.5,0,0,0,0.8,0.8,0.13,+0.2,+0.2
880,Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,27,1994,18.3,1,4,1,25,0.22,0.05,0.25,1,18.5,0,0,0,0.5,0.5,0.12,+0.5,+0.5
881,Salvador Ferrer,es ESP,DFMF,Spezia,it Serie A,23,1998,16.6,0,6,1,16.7,0.36,0.06,0,0,24.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3
882,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,29,1992,32.3,0,14,2,14.3,0.43,0.06,0,0,25.8,0,0,0,0.5,0.5,0.03,-0.5,-0.5
883,Riccardo Fiamozzi,it ITA,DF,Empoli,it Serie A,28,1993,6.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
884,Fidel,es ESP,MF,Elche,es La Liga,31,1989,25.1,5,17,7,41.2,0.68,0.28,0.24,0.57,15.8,1,1,1,2.9,2.1,0.13,+2.1,+1.9
885,Karol Fila,pl POL,DF,Strasbourg,fr Ligue 1,23,1998,6.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
886,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,32,1989,3.2,2,6,4,66.7,1.85,1.23,0.33,0.5,12.8,0,0,0,1.1,1.1,0.18,+0.9,+0.9
887,Luca Fiordilino,it ITA,MF,Venezia,it Serie A,25,1996,7.3,0,3,1,33.3,0.41,0.14,0,0,19.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3
888,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,31,1990,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
889,Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,29,1991,11,5,30,11,36.7,2.73,1,0.17,0.45,15.3,0,0,0,5.1,5.1,0.17,-0.1,-0.1
890,Junior Firpo,es ESP,DFMF,Leeds United,eng Premier League,24,1996,19,0,11,1,9.1,0.58,0.05,0,0,14.6,0,0,0,1.1,1.1,0.1,-1.1,-1.1
891,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,28,1993,32,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
892,Ashley Fletcher,eng ENG,FW,Watford,eng Premier League,25,1995,0.3,0,2,1,50,6,3,0,0,17.6,0,0,0,0.3,0.3,0.17,-0.3,-0.3
893,Alexis Flips,fr FRA,MFDF,Reims,fr Ligue 1,21,2000,11.7,2,18,9,50,1.53,0.77,0.06,0.11,25,1,1,1,2.4,1.6,0.09,-0.4,-0.6
894,Alessandro Florenzi,it ITA,DFFW,Milan,it Serie A,30,1991,12.8,2,22,6,27.3,1.72,0.47,0.09,0.33,23.7,2,0,0,0.8,0.8,0.04,+1.2,+1.2
895,Phil Foden,eng ENG,FW,Manchester City,eng Premier League,21,2000,23.6,9,57,22,38.6,2.41,0.93,0.16,0.41,14.5,0,0,0,10,10,0.18,-1,-1
896,Mamadou Fofana,ml MLI,DF,Metz,fr Ligue 1,23,1998,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
897,Seko Fofana,ci CIV,MF,Lens,fr Ligue 1,26,1995,37.3,8,97,32,33,2.6,0.86,0.08,0.25,21,0,0,0,8,8,0.08,0,0
898,Wesley Fofana,fr FRA,DF,Leicester City,eng Premier League,20,2000,7,0,3,1,33.3,0.43,0.14,0,0,7.9,0,0,0,0.6,0.6,0.2,-0.6,-0.6
899,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,22,1999,24.3,0,30,6,20,1.23,0.25,0,0,26.4,2,0,0,1.5,1.5,0.05,-1.5,-1.5
900,Thomas Foket,be BEL,DFFW,Reims,fr Ligue 1,26,1994,24.8,1,8,3,37.5,0.32,0.12,0.13,0.33,13.6,0,0,0,0.7,0.7,0.08,+0.3,+0.3
901,Thomas Fontaine,mg MAD,DF,Lorient,fr Ligue 1,30,1991,1.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
902,José Fontán,es ESP,DF,Celta Vigo,es La Liga,21,2000,3.1,0,1,0,0,0.33,0,0,,14,0,0,0,0.1,0.1,0.13,-0.1,-0.1
903,José Fonte,pt POR,DF,Lille,fr Ligue 1,37,1983,38,0,21,6,28.6,0.55,0.16,0,0,11.2,0,0,0,1.6,1.6,0.08,-1.6,-1.6
904,Fernando Forestieri,it ITA,FWMF,Udinese,it Serie A,31,1990,0.6,2,3,2,66.7,4.66,3.1,0.67,1,14.1,1,0,0,1.2,1.2,0.4,+0.8,+0.8
905,Pablo Fornals,es ESP,FWMF,West Ham,eng Premier League,25,1996,31.1,6,43,11,25.6,1.38,0.35,0.14,0.55,18.7,0,0,0,5.2,5.2,0.12,+0.8,+0.8
906,Emil Forsberg,se SWE,MF,RB Leipzig,de Bundesliga,29,1991,19,6,38,11,28.9,2,0.58,0.05,0.18,19,2,4,4,8.6,5.5,0.14,-2.6,-3.5
907,Adam Forshaw,eng ENG,MF,Leeds United,eng Premier League,29,1991,17,0,14,4,28.6,0.82,0.24,0,0,25,1,0,0,0.6,0.6,0.04,-0.6,-0.6
908,Marcus Forss,fi FIN,FWMF,Brentford,eng Premier League,22,1999,2.3,0,5,0,0,2.15,0,0,,15.8,0,0,0,0.5,0.5,0.1,-0.5,-0.5
909,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,33,1988,19,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
910,Philipp Förster,de GER,MFFW,Stuttgart,de Bundesliga,26,1995,10.7,2,29,7,24.1,2.7,0.65,0.07,0.29,17.9,1,0,0,3,3,0.1,-1,-1
911,Francesco Forte,it ITA,FW,Venezia,it Serie A,28,1993,4.7,1,11,2,18.2,2.35,0.43,0.09,0.5,10.5,0,0,0,1.2,1.2,0.11,-0.2,-0.2
912,Steven Fortes,cv CPV,DF,Lens,fr Ligue 1,29,1992,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
913,Ben Foster,eng ENG,GK,Watford,eng Premier League,38,1983,26,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
914,Tariqe Fosu,gh GHA,DF,Brentford,eng Premier League,25,1995,0.2,0,1,1,100,5.29,5.29,0,0,17,0,0,0,0.1,0.1,0.06,-0.1,-0.1
915,Timothy Fosu-Mensah,nl NED,DF,Leverkusen,de Bundesliga,23,1998,1.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
916,Dimitri Foulquier,fr FRA,DF,Granada,es La Liga,28,1993,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
917,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,28,1993,26,0,16,5,31.3,0.61,0.19,0,0,21.9,0,0,0,0.9,0.9,0.06,-0.9,-0.9
918,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,23,1998,21.4,1,6,2,33.3,0.28,0.09,0.17,0.5,12.1,0,0,0,0.8,0.8,0.14,+0.2,+0.2
919,Gianluca Frabotta,it ITA,DFMF,Hellas Verona,it Serie A,22,1999,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
920,Raphael Framberger,de GER,DF,Augsburg,de Bundesliga,25,1995,9.4,0,1,0,0,0.11,0,0,,21,0,0,0,0,0,0.05,0,0
921,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,26,1995,27.2,6,34,13,38.2,1.25,0.48,0.18,0.46,17.9,0,0,0,3.4,3.4,0.1,+2.6,+2.6
922,Enric Franquesa,es ESP,DFFW,Levante,es La Liga,24,1997,6.9,0,1,0,0,0.14,0,0,,11.5,0,0,0,0.1,0.1,0.1,-0.1,-0.1
923,Fransérgio,br BRA,MF,Bordeaux,fr Ligue 1,30,1990,14,0,14,2,14.3,1,0.14,0,0,21.7,1,0,0,1.3,1.3,0.09,-1.3,-1.3
924,Ryan Fraser,sct SCO,FWMF,Newcastle Utd,eng Premier League,27,1994,16.3,2,24,7,29.2,1.47,0.43,0.08,0.29,18,0,0,0,3.2,3.2,0.13,-1.2,-1.2
925,Davide Frattesi,it ITA,MF,Sassuolo,it Serie A,21,1999,31.7,4,67,20,29.9,2.11,0.63,0.06,0.2,17.3,0,0,0,6.6,6.6,0.1,-2.6,-2.6
926,Fred,br BRA,MF,Manchester Utd,eng Premier League,28,1993,22.5,4,15,9,60,0.67,0.4,0.27,0.44,21.3,0,0,0,1.4,1.4,0.09,+2.6,+2.6
927,Ryan Fredericks,eng ENG,DF,West Ham,eng Premier League,28,1992,3.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
928,Morten Frendrup,dk DEN,DFMF,Genoa,it Serie A,20,2001,7.7,0,4,2,50,0.52,0.26,0,0,21.1,0,0,0,0.6,0.6,0.14,-0.6,-0.6
929,Remo Freuler,ch SUI,MF,Atalanta,it Serie A,29,1992,26.3,1,20,6,30,0.76,0.23,0.05,0.17,21.4,0,0,0,1.5,1.5,0.08,-0.5,-0.5
930,Marvin Friedrich,de GER,DF,M'Gladbach,de Bundesliga,25,1995,6.7,0,5,1,20,0.75,0.15,0,0,15,0,0,0,0.4,0.4,0.08,-0.4,-0.4
931,Marvin Friedrich,de GER,DF,Union Berlin,de Bundesliga,25,1995,13,0,14,4,28.6,1.08,0.31,0,0,13.6,0,0,0,1.5,1.5,0.11,-1.5,-1.5
932,Jeremie Frimpong,nl NED,DF,Leverkusen,de Bundesliga,20,2000,22.8,1,11,4,36.4,0.48,0.18,0.09,0.25,19.2,0,0,0,1,1,0.09,0,0
933,Christian Früchtl,de GER,GK,Bayern Munich,de Bundesliga,21,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
934,Jorge de Frutos,es ESP,MFFW,Levante,es La Liga,24,1997,19.6,4,46,20,43.5,2.35,1.02,0.09,0.2,15.9,0,0,0,6.4,6.4,0.14,-2.4,-2.4
935,Leo Fuhr Hjelde,no NOR,MFDF,Leeds United,eng Premier League,17,2003,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
936,Chris Führich,de GER,FWMF,Stuttgart,de Bundesliga,23,1998,19,3,30,12,40,1.58,0.63,0.1,0.25,19.6,0,0,0,3.6,3.6,0.12,-0.6,-0.6
937,Angelo Fulgini,fr FRA,MFFW,Angers,fr Ligue 1,24,1996,32.5,5,58,17,29.3,1.78,0.52,0.09,0.29,16.5,3,0,0,6.1,6.1,0.1,-1.1,-1.1
938,Marius Funk,de GER,GK,Greuther Fürth,de Bundesliga,25,1996,8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
939,Stephan Fürstner,de GER,MF,Mainz 05,de Bundesliga,33,1987,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
940,Matteo Gabbia,it ITA,DF,Milan,it Serie A,21,1999,6,0,1,0,0,0.17,0,0,,5.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1
941,Manolo Gabbiadini,it ITA,FWMF,Sampdoria,it Serie A,29,1991,12.7,6,44,20,45.5,3.47,1.58,0.14,0.3,19.3,3,0,0,4.5,4.5,0.1,+1.5,+1.5
942,Mijat Gaćinović,rs SRB,FWMF,Hoffenheim,de Bundesliga,26,1995,1.2,0,1,0,0,0.82,0,0,,10.9,0,0,0,0.1,0.1,0.09,-0.1,-0.1
943,Gianluca Gaetano,it ITA,MF,Napoli,it Serie A,21,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
944,Luca Gagliano,it ITA,FWDF,Cagliari,it Serie A,21,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
945,Roberto Gagliardini,it ITA,MF,Inter,it Serie A,27,1994,7.2,2,8,4,50,1.11,0.55,0.25,0.5,17.7,0,0,0,1,1,0.13,+1.0,+1.0
946,Riccardo Gagliolo,se SWE,DF,Salernitana,it Serie A,31,1990,12.6,0,8,1,12.5,0.63,0.08,0,0,18.4,0,0,0,0.5,0.5,0.06,-0.5,-0.5
947,Javi Galán,es ESP,DF,Celta Vigo,es La Liga,26,1994,36.6,0,19,5,26.3,0.52,0.14,0,0,27.7,1,0,0,0.6,0.6,0.03,-0.6,-0.6
948,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,es La Liga,27,1993,15.3,0,8,3,37.5,0.52,0.2,0,0,22.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6
949,Nicolas Galazzi,it ITA,MF,Venezia,it Serie A,20,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
950,Pablo Galdames Millán,cl CHI,MF,Genoa,it Serie A,24,1996,11.4,0,12,3,25,1.05,0.26,0,0,23.7,0,0,0,0.6,0.6,0.05,-0.6,-0.6
951,Thiago Galhardo,br BRA,FWMF,Celta Vigo,es La Liga,32,1989,12.8,2,30,16,53.3,2.35,1.25,0.07,0.13,12.5,0,0,0,4.2,4.2,0.14,-2.2,-2.2
952,Conor Gallagher,eng ENG,MF,Crystal Palace,eng Premier League,21,2000,31.6,8,52,22,42.3,1.64,0.7,0.15,0.36,17.5,4,0,0,7.7,7.7,0.15,+0.3,+0.3
953,Gauthier Gallon,fr FRA,GK,Troyes,fr Ligue 1,28,1993,31,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
954,Cristian Gamboa,cr CRC,DF,Bochum,de Bundesliga,31,1989,19.1,1,5,1,20,0.26,0.05,0.2,1,27.3,0,0,0,0.1,0.1,0.03,+0.9,+0.9
955,Kévin Gameiro,fr FRA,FW,Strasbourg,fr Ligue 1,34,1987,26.5,11,65,25,38.5,2.45,0.94,0.15,0.4,14.2,0,1,3,14.2,11.8,0.18,-3.2,-1.8
956,Idrissa Gana Gueye,sn SEN,MF,Paris S-G,fr Ligue 1,31,1989,18.2,3,24,7,29.2,1.32,0.38,0.13,0.43,23.6,0,0,0,2,2,0.08,+1.0,+1.0
957,Ignatius Ganago,cm CMR,FW,Lens,fr Ligue 1,22,1999,11.4,5,31,10,32.3,2.72,0.88,0.16,0.5,13.2,0,0,0,4.6,4.6,0.15,+0.4,+0.4
958,Silvère Ganvoula M'Boussy,cg CGO,FW,Bochum,de Bundesliga,25,1996,1.7,0,3,1,33.3,1.76,0.59,0,0,8.1,0,0,0,0.7,0.7,0.23,-0.7,-0.7
959,Álvaro García,es ESP,FWMF,Rayo Vallecano,es La Liga,28,1992,33.3,7,68,23,33.8,2.04,0.69,0.1,0.3,17,0,0,0,6.9,6.9,0.1,+0.1,+0.1
960,Dani García,es ESP,MF,Athletic Club,es La Liga,31,1990,24.2,0,12,2,16.7,0.5,0.08,0,0,20.6,0,0,0,0.6,0.6,0.05,-0.6,-0.6
961,David García,es ESP,DF,Osasuna,es La Liga,27,1994,34.5,4,31,4,12.9,0.9,0.12,0.13,1,12.8,0,0,0,1.5,1.5,0.05,+2.5,+2.5
962,Eric García,es ESP,DF,Barcelona,es La Liga,20,2001,22.7,0,6,4,66.7,0.26,0.18,0,0,24.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
963,Francisco Garcia,es ESP,DF,Rayo Vallecano,es La Liga,21,1999,33.6,1,25,8,32,0.74,0.24,0.04,0.13,23.6,0,0,0,1.3,1.3,0.05,-0.3,-0.3
964,Joan García,es ESP,GK,Espanyol,es La Liga,20,2001,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
965,Manu García,es ESP,MF,Alavés,es La Liga,23,1998,12,0,8,1,12.5,0.67,0.08,0,0,22.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5
966,Raúl García,es ESP,FW,Athletic Club,es La Liga,35,1986,20,6,43,12,27.9,2.15,0.6,0.14,0.5,17,0,0,1,6.1,5.3,0.12,-0.1,+0.7
967,Rubén García,es ESP,MFFW,Osasuna,es La Liga,28,1993,26.4,1,31,10,32.3,1.17,0.38,0.03,0.1,22.7,4,0,2,3.5,1.9,0.06,-2.5,-0.9
968,Saúl García,es ESP,MF,Alavés,es La Liga,26,1994,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
969,Unai García,es ESP,DF,Osasuna,es La Liga,29,1992,15.6,0,8,0,0,0.51,0,0,,17.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4
970,Alejandro Garnacho,es ESP,FWMF,Manchester Utd,eng Premier League,17,2004,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
